iter	Passed	Remaining
0	0	81
1	1	72
2	2	68
3	2	62
4	3	62
5	3	61
6	4	60
7	5	59
8	5	58
9	6	57
10	7	57
11	7	56
12	8	55
13	9	55
14	9	54
15	10	53
16	10	53
17	11	52
18	12	52
19	12	51
20	13	50
21	14	50
22	14	49
23	15	49
24	16	49
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	45
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	37
42	28	37
43	29	37
44	30	36
45	30	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
