iter	Passed	Remaining
0	141	140931
1	141	70840
2	142	47428
3	143	35710
4	144	28701
5	144	24021
6	145	20669
7	146	18155
8	147	16203
9	148	14672
10	148	13393
11	149	12330
12	150	11429
13	151	10660
14	152	9989
15	152	9401
16	153	8891
17	157	8572
18	157	8155
19	158	7779
20	159	7439
21	160	7132
22	161	6857
23	162	6599
24	163	6360
25	163	6139
26	164	5934
27	165	5746
28	166	5570
29	167	5405
30	168	5252
31	169	5112
32	170	4983
33	171	4861
34	172	4746
35	173	4634
36	173	4527
37	174	4425
38	175	4327
39	176	4235
40	177	4147
41	178	4063
42	179	3985
43	179	3910
44	181	3843
45	181	3773
46	182	3706
47	183	3643
48	184	3583
49	186	3534
50	187	3484
51	188	3441
52	189	3389
53	190	3337
54	191	3288
55	192	3240
56	193	3198
57	194	3154
58	195	3113
59	196	3070
60	196	3030
61	197	2991
62	198	2954
63	199	2918
64	200	2884
65	201	2855
66	202	2822
67	203	2789
68	204	2759
69	205	2728
70	206	2698
71	207	2672
72	208	2645
73	209	2616
74	209	2589
75	210	2562
76	211	2536
77	212	2511
78	213	2486
79	214	2462
80	215	2440
81	217	2435
82	218	2409
83	218	2387
84	219	2367
85	220	2347
86	221	2327
87	222	2306
88	223	2287
89	224	2270
90	225	2252
91	226	2233
92	227	2215
93	227	2197
94	229	2182
95	230	2173
96	231	2158
97	232	2143
98	233	2127
99	234	2111
100	235	2099
101	236	2085
102	237	2070
103	238	2055
104	239	2041
105	240	2029
106	241	2016
107	242	2002
108	243	1989
109	244	1976
110	245	1963
111	246	1952
112	247	1940
113	248	1928
114	249	1919
115	250	1907
116	251	1900
117	252	1889
118	253	1878
119	254	1867
120	255	1855
121	256	1846
122	257	1835
123	258	1824
124	259	1815
125	260	1805
126	261	1794
127	261	1784
128	262	1775
129	263	1766
130	264	1757
131	265	1748
132	267	1743
133	268	1735
134	269	1726
135	270	1717
136	271	1708
137	272	1699
138	272	1690
139	273	1682
140	281	1715
141	282	1705
142	283	1697
143	284	1688
144	284	1679
145	285	1671
146	286	1663
147	287	1655
148	288	1647
149	289	1640
150	291	1637
151	292	1631
152	293	1624
153	294	1616
154	295	1609
155	296	1602
156	297	1595
157	298	1588
158	299	1581
159	299	1574
160	300	1566
161	301	1559
162	302	1552
163	303	1545
164	303	1538
165	305	1535
166	306	1528
167	307	1523
168	308	1517
169	309	1511
170	310	1504
171	311	1498
172	312	1492
173	313	1486
174	313	1479
175	314	1473
176	315	1467
177	316	1461
178	317	1454
179	317	1448
180	318	1442
181	320	1438
182	321	1433
183	321	1427
184	322	1422
185	323	1416
186	324	1410
187	325	1405
188	326	1399
189	327	1394
190	328	1389
191	328	1384
192	329	1378
193	330	1373
194	331	1368
195	332	1362
196	333	1357
197	333	1352
198	334	1347
199	335	1343
200	336	1338
201	338	1335
202	338	1330
203	339	1325
204	340	1321
205	341	1316
206	342	1311
207	343	1307
208	344	1302
209	344	1297
210	345	1293
211	346	1288
212	347	1284
213	348	1279
214	349	1274
215	350	1271
216	355	1283
217	356	1278
218	357	1273
219	357	1269
220	358	1265
221	359	1260
222	360	1256
223	361	1252
224	362	1247
225	363	1243
226	363	1239
227	364	1235
228	365	1231
229	366	1227
230	369	1229
231	370	1226
232	371	1222
233	372	1218
234	373	1214
235	374	1211
236	375	1208
237	376	1205
238	377	1201
239	378	1197
240	379	1193
241	380	1190
242	380	1186
243	381	1183
244	382	1180
245	383	1176
246	384	1173
247	386	1172
248	387	1168
249	388	1165
250	389	1162
251	390	1158
252	391	1155
253	391	1151
254	392	1147
255	393	1144
256	397	1148
257	398	1145
258	399	1142
259	400	1139
260	401	1136
261	402	1133
262	403	1129
263	404	1126
264	404	1123
265	405	1120
266	407	1117
267	407	1114
268	408	1110
269	409	1107
270	410	1104
271	411	1101
272	412	1099
273	413	1096
274	414	1093
275	415	1091
276	417	1088
277	418	1086
278	419	1083
279	420	1080
280	420	1077
281	421	1074
282	422	1071
283	423	1068
284	424	1065
285	425	1062
286	426	1059
287	427	1056
288	428	1053
289	429	1051
290	430	1049
291	431	1046
292	432	1043
293	433	1041
294	434	1038
295	435	1035
296	436	1032
297	437	1029
298	437	1026
299	438	1024
300	439	1021
301	440	1018
302	442	1017
303	443	1014
304	444	1011
305	445	1009
306	446	1007
307	447	1004
308	447	1001
309	448	998
310	449	995
311	450	992
312	451	990
313	451	987
314	452	984
315	453	982
316	454	979
317	455	977
318	457	977
319	458	974
320	459	972
321	460	969
322	461	967
323	462	964
324	463	962
325	464	959
326	464	956
327	465	954
328	466	951
329	467	948
330	467	945
331	468	942
332	469	940
333	470	938
334	473	940
335	474	937
336	475	935
337	476	932
338	477	930
339	478	928
340	478	925
341	479	923
342	480	920
343	481	918
344	482	915
345	483	913
346	483	910
347	484	908
348	485	906
349	486	904
350	488	902
351	489	900
352	489	897
353	490	895
354	491	893
355	492	891
356	493	889
357	494	887
358	495	885
359	496	882
360	497	880
361	498	878
362	499	875
363	500	873
364	501	872
365	502	869
366	503	867
367	504	865
368	504	863
369	505	861
370	506	859
371	507	856
372	510	857
373	511	855
374	511	853
375	513	851
376	514	849
377	515	848
378	516	846
379	521	850
380	522	848
381	523	846
382	523	844
383	525	842
384	526	840
385	527	838
386	528	836
387	529	834
388	530	832
389	532	832
390	533	830
391	534	828
392	535	827
393	536	825
394	537	823
395	538	821
396	539	819
397	540	817
398	541	816
399	542	814
400	543	812
401	545	810
402	546	809
403	547	807
404	548	806
405	552	808
406	553	806
407	554	804
408	555	802
409	556	800
410	557	799
411	559	799
412	561	797
413	562	796
414	563	794
415	564	792
416	566	791
417	567	790
418	568	788
419	570	787
420	571	785
421	572	783
422	573	782
423	574	780
424	576	779
425	576	777
426	577	775
427	578	773
428	579	771
429	580	769
430	581	767
431	582	765
432	583	763
433	584	761
434	584	759
435	585	757
436	587	756
437	588	755
438	589	752
439	589	750
440	590	748
441	591	746
442	594	747
443	595	745
444	596	743
445	597	741
446	597	739
447	598	737
448	599	735
449	600	733
450	601	731
451	602	729
452	602	728
453	603	726
454	604	724
455	605	722
456	606	720
457	606	718
458	607	716
459	608	714
460	609	712
461	610	710
462	611	708
463	611	706
464	612	704
465	613	703
466	614	701
467	615	699
468	616	697
469	617	695
470	617	694
471	618	692
472	619	690
473	620	688
474	621	687
475	623	686
476	624	684
477	625	683
478	626	681
479	627	679
480	628	678
481	629	676
482	630	674
483	631	672
484	631	671
485	632	669
486	633	667
487	634	665
488	635	663
489	636	662
490	637	660
491	638	659
492	640	658
493	641	656
494	642	654
495	642	653
496	643	651
497	644	649
498	645	647
499	646	646
500	646	644
501	647	642
502	648	640
503	649	639
504	650	637
505	651	635
506	651	633
507	652	632
508	653	630
509	655	629
510	656	627
511	657	626
512	658	624
513	658	623
514	659	621
515	660	619
516	661	618
517	662	616
518	663	614
519	664	613
520	665	611
521	666	610
522	667	608
523	668	606
524	669	605
525	670	604
526	671	602
527	672	601
528	673	600
529	674	598
530	676	597
531	677	595
532	678	594
533	679	592
534	682	592
535	683	591
536	684	590
537	685	588
538	686	586
539	687	585
540	688	583
541	689	582
542	690	580
543	691	579
544	691	577
545	692	576
546	693	574
547	694	572
548	695	571
549	696	570
550	697	568
551	698	567
552	699	565
553	700	563
554	701	562
555	702	561
556	703	559
557	704	558
558	705	556
559	706	555
560	707	553
561	708	552
562	709	550
563	710	549
564	712	548
565	713	547
566	714	545
567	716	544
568	717	543
569	718	541
570	719	540
571	720	538
572	721	537
573	722	535
574	722	534
575	724	532
576	724	531
577	726	530
578	727	529
579	729	528
580	730	526
581	731	525
582	732	523
583	733	522
584	734	520
585	735	519
586	736	517
587	737	516
588	738	515
589	739	513
590	740	512
591	741	511
592	745	511
593	746	510
594	747	508
595	748	507
596	749	505
597	750	504
598	751	502
599	752	501
600	753	500
601	754	498
602	755	497
603	758	497
604	759	495
605	760	494
606	761	492
607	762	491
608	763	489
609	763	488
610	764	486
611	765	485
612	766	483
613	767	482
614	768	480
615	769	479
616	770	478
617	771	476
618	772	475
619	773	474
620	774	472
621	775	471
622	776	469
623	777	468
624	778	466
625	779	465
626	780	464
627	781	462
628	782	461
629	782	459
630	783	458
631	784	456
632	785	455
633	786	453
634	787	452
635	789	451
636	789	450
637	790	448
638	791	447
639	792	445
640	793	444
641	794	443
642	795	441
643	796	440
644	797	438
645	797	437
646	798	435
647	799	434
648	800	432
649	801	431
650	802	430
651	803	428
652	804	427
653	804	425
654	805	424
655	806	422
656	807	421
657	808	420
658	809	418
659	809	417
660	810	415
661	811	414
662	812	412
663	813	411
664	814	410
665	815	408
666	816	407
667	817	406
668	817	404
669	818	403
670	819	401
671	820	400
672	821	398
673	822	397
674	823	396
675	823	394
676	824	393
677	825	392
678	826	390
679	827	389
680	827	387
681	828	386
682	829	385
683	833	384
684	834	383
685	834	382
686	835	380
687	836	379
688	837	377
689	838	376
690	839	375
691	839	373
692	840	372
693	841	371
694	842	369
695	843	368
696	843	366
697	844	365
698	845	364
699	846	362
700	847	361
701	848	360
702	849	358
703	849	357
704	850	355
705	851	354
706	852	353
707	853	351
708	854	350
709	854	349
710	855	347
711	856	346
712	857	345
713	858	343
714	858	342
715	859	341
716	860	339
717	861	338
718	862	337
719	863	335
720	863	334
721	865	333
722	866	331
723	867	330
724	868	329
725	868	327
726	869	326
727	870	325
728	870	323
729	872	322
730	873	321
731	873	319
732	878	319
733	879	318
734	880	317
735	880	315
736	881	314
737	882	313
738	883	312
739	884	310
740	885	309
741	886	308
742	887	306
743	887	305
744	888	304
745	889	302
746	890	301
747	891	300
748	892	299
749	893	297
750	894	296
751	895	295
752	895	293
753	896	292
754	897	291
755	898	290
756	899	288
757	900	287
758	901	286
759	902	284
760	903	283
761	904	282
762	904	281
763	906	279
764	906	278
765	907	277
766	908	276
767	909	274
768	910	273
769	911	272
770	913	271
771	914	270
772	915	268
773	916	267
774	916	266
775	917	264
776	918	263
777	919	262
778	920	261
779	921	259
780	923	258
781	924	257
782	925	256
783	926	255
784	926	253
785	927	252
786	928	251
787	929	250
788	930	248
789	931	247
790	931	246
791	932	244
792	933	243
793	934	242
794	935	241
795	938	240
796	939	239
797	940	238
798	941	236
799	942	235
800	943	234
801	944	233
802	945	231
803	946	230
804	947	229
805	947	228
806	948	226
807	954	226
808	955	225
809	955	224
810	956	222
811	957	221
812	958	220
813	959	219
814	960	218
815	962	217
816	963	215
817	964	214
818	966	213
819	967	212
820	968	211
821	969	209
822	970	208
823	971	207
824	972	206
825	973	204
826	974	203
827	975	202
828	976	201
829	976	200
830	977	198
831	978	197
832	979	196
833	981	195
834	982	194
835	983	192
836	985	191
837	986	190
838	987	189
839	988	188
840	989	187
841	990	185
842	990	184
843	991	183
844	992	182
845	993	180
846	993	179
847	994	178
848	996	177
849	997	176
850	998	174
851	999	173
852	1000	172
853	1001	171
854	1001	169
855	1002	168
856	1003	167
857	1004	166
858	1005	165
859	1006	163
860	1007	162
861	1007	161
862	1008	160
863	1009	158
864	1011	157
865	1012	156
866	1013	155
867	1014	154
868	1015	153
869	1016	151
870	1016	150
871	1017	149
872	1018	148
873	1019	146
874	1020	145
875	1021	144
876	1022	143
877	1022	142
878	1023	140
879	1024	139
880	1025	138
881	1026	137
882	1027	136
883	1028	134
884	1029	133
885	1030	132
886	1032	131
887	1032	130
888	1033	129
889	1034	127
890	1035	126
891	1036	125
892	1037	124
893	1038	123
894	1038	121
895	1040	120
896	1041	119
897	1041	118
898	1042	117
899	1043	115
900	1044	114
901	1045	113
902	1046	112
903	1047	111
904	1048	110
905	1049	108
906	1050	107
907	1051	106
908	1051	105
909	1052	104
910	1058	103
911	1059	102
912	1060	101
913	1061	99
914	1062	98
915	1063	97
916	1064	96
917	1065	95
918	1066	93
919	1067	92
920	1067	91
921	1068	90
922	1070	89
923	1071	88
924	1072	86
925	1073	85
926	1074	84
927	1074	83
928	1075	82
929	1076	81
930	1077	79
931	1078	78
932	1079	77
933	1080	76
934	1081	75
935	1081	73
936	1082	72
937	1083	71
938	1084	70
939	1085	69
940	1086	68
941	1087	66
942	1088	65
943	1089	64
944	1090	63
945	1090	62
946	1091	61
947	1092	59
948	1094	58
949	1095	57
950	1095	56
951	1096	55
952	1097	54
953	1098	52
954	1099	51
955	1100	50
956	1101	49
957	1102	48
958	1102	47
959	1103	45
960	1104	44
961	1106	43
962	1106	42
963	1107	41
964	1108	40
965	1109	39
966	1110	37
967	1110	36
968	1111	35
969	1112	34
970	1113	33
971	1113	32
972	1119	31
973	1120	29
974	1121	28
975	1122	27
976	1123	26
977	1124	25
978	1125	24
979	1125	22
980	1126	21
981	1127	20
982	1128	19
983	1128	18
984	1129	17
985	1130	16
986	1131	14
987	1132	13
988	1133	12
989	1134	11
990	1135	10
991	1137	9
992	1137	8
993	1138	6
994	1139	5
995	1140	4
996	1141	3
997	1142	2
998	1143	1
999	1143	0
